,mean,std,max,min
Jan,5.593313485080637,3.2589394173441533,12.076904,1.255127
Feb,6.288019023649766,3.390706401026451,12.506653,1.3200989
Mar,9.57013503282704,3.2948948602504906,14.942841,4.2539673
Apr,13.642101503151604,3.3244352663400845,18.799927,7.7442627
May,19.473022373294153,3.347700477517919,24.760834,13.704437
Jun,25.621753967858012,3.547546076085782,30.807251,19.617126
Jul,29.590126555109716,3.6699701812880567,33.78961,22.640259
Aug,30.2432547570852,3.3550935049992967,33.786407,23.5141
Sep,25.44984088703921,3.0384695316789725,29.635376,19.680664
Oct,17.74147070158072,3.2037442689888143,22.705719,12.474396
Nov,10.866747014743646,3.4957363839916744,17.412537,6.077606
Dec,6.5733922972904235,3.375267617331165,13.415588,2.3220825
