,mean,std,max,min
Jan,14.363884132204628,3.306016967725255,19.667847,8.914398
Feb,14.089225127478885,3.294881031693124,19.39087,8.668945
Mar,13.745488434188436,3.2817948646549358,19.039734,8.357819
Apr,13.401017311190605,3.2700495571882597,18.685486,8.039459
May,13.147451387670085,3.262278578836876,18.422028,7.7993774
Jun,13.035287993974524,3.2629388543064817,18.311401,7.684601
Jul,13.114546550341148,3.2747097524547266,18.411987,7.7471924
Aug,13.388945090967066,3.297615097484996,18.71576,7.9859924
Sep,13.777191430425727,3.3224455831199755,19.121185,8.326782
Oct,14.148414283254983,3.340463462309031,19.496246,8.655701
Nov,14.382571487012983,3.3476514390413845,19.7276,8.867401
Dec,14.424137643392966,3.34583067911599,19.768036,8.909332
