,mean,std,max,min
Jan,0.3013957562990559,0.12216604400688517,0.5096618,0.09643301
Feb,0.30449580804147247,0.1271260906255181,0.5150851,0.09225301
Mar,0.302950187767009,0.13595874637170688,0.52624774,0.07447226
Apr,0.30411545544053803,0.13858114698556173,0.5279115,0.07454887
May,0.2913081702704546,0.13928799617810675,0.5176175,0.059165567
Jun,0.2580135936856847,0.13096206119078005,0.49362668,0.04495682
Jul,0.22897981089316188,0.12300770983470792,0.47895604,0.041890737
Aug,0.20399849421128005,0.11457308319867451,0.45412847,0.041222263
Sep,0.19505452956355473,0.10920231111834076,0.43464544,0.043607045
Oct,0.21801032209188811,0.11334811404388737,0.45904,0.055470653
Nov,0.2676267491455878,0.11958230498891827,0.4982116,0.07696519
Dec,0.29281096581019234,0.11986448197847031,0.50642896,0.09473375
