,mean,std,max,min
Jan,0.29310585547516776,0.11613795627122528,0.48587132,0.097083166
Feb,0.30010023070602554,0.12575788102767002,0.5079311,0.08926277
Mar,0.3036853415087022,0.1341274045115653,0.5199719,0.079378195
Apr,0.2975571445404862,0.13680159372100179,0.5157049,0.06907275
May,0.2811243727932853,0.13474541135935933,0.50432175,0.05591071
Jun,0.2420337512913671,0.12200797401887709,0.4708441,0.044663157
Jul,0.1977677228807116,0.1045396384191993,0.42182115,0.040496334
Aug,0.1686053283709363,0.08799647307340706,0.36997753,0.040002335
Sep,0.15893021599020782,0.07580572924351783,0.3244708,0.042932823
Oct,0.17694589478049655,0.08557055614835146,0.35743862,0.049412724
Nov,0.2340757160362622,0.10237083629923162,0.43966216,0.07756298
Dec,0.2765864105825625,0.11181079053998838,0.47712618,0.0928672
