,mean,std,max,min
Jan,0.27816901424413704,0.10892753093971515,0.45316038,0.08963601
Feb,0.2855205855084931,0.117387329901486,0.47338048,0.083183505
Mar,0.2885239590081885,0.1223562383575957,0.48055202,0.07695841
Apr,0.27566981206531155,0.12438804153780661,0.4679571,0.05897988
May,0.25795506122749,0.1188957092825716,0.4476402,0.04883308
Jun,0.21734794100265584,0.09817165112209145,0.38263246,0.04222244
Jul,0.1708004284577159,0.07206565314500861,0.29162377,0.039991144
Aug,0.14432157888994623,0.05568080883475902,0.22888649,0.03994442
Sep,0.13975528670051163,0.052945371105751364,0.21575327,0.041403193
Oct,0.1604791640768624,0.05945627083112237,0.24677904,0.053601183
Nov,0.2060946787309199,0.07457107901827759,0.3150299,0.07024566
Dec,0.2485085399176229,0.09245807437687927,0.39010972,0.08284855
