,mean,std,max,min
Jan,3.3091273056827837,3.5287709624251353,10.197998,-1.4585876
Feb,3.9871551609693694,3.3983904008747263,10.266571,-0.95251465
Mar,6.6126843692324355,3.2765162327780466,12.049622,1.3742065
Apr,11.732206447137067,3.1190464834223306,16.516052,6.249481
May,16.187197519522616,3.3112192452279965,21.21347,10.328308
Jun,22.18664443354118,3.4890123858047404,27.362122,16.193756
Jul,26.27047091530782,3.6544365077061864,30.76294,19.572449
Aug,26.004111953126618,3.5116116358044227,30.00058,19.197357
Sep,20.543090506982036,3.3714478250188664,25.313568,14.380951
Oct,13.456772261455901,3.3432894529331776,19.147888,8.270203
Nov,7.906750462080529,3.618700797018197,14.769226,3.0143738
Dec,4.515393661146438,3.5415665608637794,11.466675,-0.18838501
