,mean,std,max,min
Jan,0.8609108367817973,8.00612390828318,12.654175,-11.810883
Feb,1.9620151115112954,7.703966533923876,12.692169,-11.3619995
Mar,5.127089240674344,7.490138895934274,15.027924,-8.250122
Apr,9.637941086761252,7.41871005244389,19.485138,-3.7924805
May,14.685638889621957,7.393872136876954,24.389679,1.3742371
Jun,21.704962174546388,7.306735851838195,31.48352,8.695374
Jul,24.925743961037792,7.890410836086963,34.285645,10.944031
Aug,25.21263115135011,7.855551024790998,33.921173,11.0946045
Sep,21.446524771005897,7.3861754505996435,30.232513,8.140106
Oct,13.605691834435776,7.010726373495868,23.332397,1.3434448
Nov,7.457026619111131,7.285622555799929,18.125244,-4.9763184
Dec,2.114817780180893,7.8479957747474804,13.956146,-10.469238
