,mean,std,max,min
Jan,9.95533594960741,6.89443837481751,19.549866,-2.3239746
Feb,9.69666875734397,6.8558393655610566,19.266205,-2.5300293
Mar,9.370193069176144,6.809466234508081,18.910767,-2.7902527
Apr,9.03749854738145,6.77265617387074,18.554688,-3.0682373
May,8.765050935738724,6.761413312323994,18.274109,-3.3230286
Jun,8.61996462003246,6.775577705567641,18.144623,-3.4960327
Jul,8.666496022510007,6.809007216163693,18.233215,-3.506073
Aug,8.896158304614112,6.859268278690456,18.52182,-3.3511658
Sep,9.241650484358228,6.916617729321969,18.920837,-3.086853
Oct,9.59087565021684,6.967577912785826,19.30603,-2.8093567
Nov,9.823895198524577,7.003023392268815,19.561218,-2.624237
Dec,9.873887862093369,7.015115879935482,19.622253,-2.5870361
