,mean,std,max,min
Jan,13.628211094115331,6.862113912205391,23.05841,1.7456055
Feb,13.360275505615073,6.834061257895593,22.771332,1.5262451
Mar,13.017726471472988,6.799354697587723,22.40329,1.248291
Apr,12.666330710922296,6.772286509247545,22.02774,0.9453125
May,12.390753207151617,6.763305377030053,21.74353,0.68026733
Jun,12.254839672338539,6.772183556078816,21.621826,0.5239563
Jul,12.320367839477,6.796228386993436,21.726898,0.5482788
Aug,12.581261415108713,6.837185252935944,22.040771,0.7435303
Sep,12.959199147950116,6.886070257504621,22.461487,1.0405884
Oct,13.347811585141738,6.928839052449927,22.873718,1.3535461
Nov,13.615096645543396,6.954557704040062,23.146759,1.5691528
Dec,13.686371990614465,6.9601156416866665,23.21103,1.6226501
